Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.21410677,0.22784021,0.89627775,0.0,0.0,0.0,0.0
0.18183951,0.16521424,0.924985,0.6606648067567615,0.5726197095591706,0.6134984449087597,0.44269484746196885
0.17445423,0.18370906,0.9246439375,0.6947547023533398,0.4905739527090506,0.5750123445179123,0.4039161563670466
0.17273214,0.16140866,0.9273235,0.6626544134279444,0.6150668992948618,0.6378776306074885,0.4684203168928195
0.17247194,0.18640724,0.9276558125000001,0.6896691682785838,0.5540529805341061,0.6144459342383585,0.44366170548868183
0.17049712,0.16057494,0.9286474375,0.6754753784303266,0.6063652749438321,0.638862890033256,0.46945188500267887
0.170912,0.15842551,0.928872375,0.682613543553307,0.5924539183249468,0.6342008180620696,0.46444984565504055
0.17232114,0.16331199,0.926067,0.7300878438151358,0.4590502088870595,0.5636646570465548,0.3926484213024609
0.17073426,0.15677515,0.926145875,0.6282696802913001,0.7116668069269284,0.6672770264749474,0.5007865945905761
0.1708421,0.18121713,0.908485375,0.7398303765366002,0.18384071575393798,0.2936636539353028,0.1722388528551535
0.1726523,0.17278074,0.9132503125,0.5573512482483229,0.8206205576383792,0.6635126578019896,0.4965654571782833
0.17285535,0.19040635,0.9287339375,0.6830904791149632,0.5891563292466078,0.6324575536415415,0.4625658465982059
0.17031497,0.17378613,0.916812875,0.5722466674333373,0.8011987957924018,0.6673873945514799,0.5009045627765074
0.16855693,0.16206673,0.9292488125,0.6943489085326906,0.5751372236444448,0.6285444069800099,0.45833687765325193
0.16823332,0.1644631,0.9287894999999999,0.7033460144666461,0.549720215427264,0.6162220380205627,0.44532290190936985
0.16868702,0.15696806,0.9253555,0.6211246054287598,0.7269503964227217,0.6697038141207032,0.5035107461031104
0.16755323,0.15384611,0.9296930625,0.702866610327206,0.5650546419754678,0.6258359714095669,0.4554549513545526
0.1680837,0.1560602,0.9292541875,0.7086072253352943,0.547274242772812,0.6167183808269783,0.4458424182111783
0.16736436,0.15537316,0.92868675,0.6616368204755588,0.6484137464443098,0.6544737705058012,0.48647639920503183
0.16736217,0.16133317,0.9229576875000001,0.6067407260520619,0.7409757068270659,0.6669886357196624,0.5004623512459978
0.16695806,0.15471637,0.9272845,0.6330337257611841,0.719642127020593,0.6733348627740462,0.507636401551024
0.16658014,0.15659079,0.9258725625,0.6255482891701345,0.7224856300595255,0.6701190050880851,0.5039896495682994
0.16665037,0.18248892,0.9229440625,0.6051407861327714,0.7468221554298937,0.6684656740896322,0.5020939424316655
0.16591436,0.16546118,0.9297763125,0.7172292807857484,0.5391521870185249,0.6150249010757951,0.4440962506580739
0.16477631,0.15400913,0.928047625,0.6383284473778341,0.713063795134951,0.6735184040514123,0.5078543855172852
0.16712499,0.16789356,0.92965,0.687043715064025,0.5984573171416978,0.639198029127766,0.46978136629334316
0.16829565,0.16057679,0.9273501875,0.6609538042469774,0.6216802777437,0.6405027831294505,0.4712288665637523
0.16640095,0.1590198,0.924851125,0.612250045773246,0.7630118419556726,0.6790724454333601,0.5141978109645542
0.1650041,0.16138001,0.9202485,0.5856658586155035,0.7974650613175647,0.6753059798780614,0.5098602758525212
0.16703737,0.15606767,0.9258019375,0.6211843008100388,0.740990907214943,0.6754856753566887,0.5101010183125996
0.16683306,0.15577233,0.92967675,0.6605443669605672,0.6688850633914663,0.6645381986924004,0.4977462864303004
0.16447562,0.14928868,0.93124275,0.6926631016314808,0.6120594713275043,0.6495571388991398,0.4810745002750739
0.16516544,0.15381841,0.927839,0.6357313504880913,0.721777507650375,0.6757554401525168,0.5104072745330147
0.16472204,0.15436783,0.9310184374999999,0.6907719130920504,0.6144303110065751,0.6497288882099552,0.4812272030290412
0.1654374,0.14989486,0.9313805,0.6978686837891972,0.6046168520622017,0.64726288516155,0.47852911958874694
0.16407973,0.15780473,0.9265646875,0.6270369718209412,0.7262931259540466,0.6729496343341967,0.5071825922478465
0.16334559,0.15164241,0.929040375,0.6470034516953767,0.7044942197823474,0.6741754412759884,0.5086065459539428
0.16360702,0.15622519,0.9288600625,0.6504400802924399,0.6868815386652889,0.6679166940787862,0.5015167144540845
0.16428658,0.1537808,0.92780375,0.6380222848336567,0.7112981440223911,0.672423941678876,0.5066239717777322
0.16406634,0.14961153,0.9312871875,0.6824154221940124,0.6386092909318875,0.6593848120295386,0.49193109455123607
0.16366982,0.15187871,0.9304451874999999,0.7323576309788278,0.5233759996384857,0.6102187954192455,0.4391311098117489
0.16504173,0.1562159,0.9257526875,0.615228020596838,0.7667968148194495,0.6825684743550877,0.5182081526783926
0.16317165,0.1494512,0.9314791875,0.6759803836923788,0.6597101520490303,0.6673251671862739,0.5008273419185142
0.16287205,0.14939332,0.9313195000000001,0.7315463810470904,0.5379116166216267,0.6196881829169008,0.4489967474851979
0.16309316,0.17662328,0.9313589375,0.6799819087320157,0.6460144774047891,0.6622536495227864,0.495163764973199
0.16128622,0.16427949,0.9288657499999999,0.6436543124456376,0.7081667570002631,0.6743521514266402,0.5088139723875185
